0               72      65430   5041.9036
10000           166     65510   5096.3730
12500           253     65522   4958.7949
15000           94      65416   5026.5461
17500           188     65502   5080.0900
20000           151     65277   5292.8303
22500           264     65371   5343.0382
25000           85      65389   5494.1821
27500           83      65155   5637.3964
30000           88      65288   6036.3792
32500           280     65489   6516.4429
35000           586     65161   7156.2147
37500           256     64092   8101.8026
40000           636     64924   8974.8297
42500           304     65462   11021.0521
45000           411     64038   11890.0929
50000           182     65301   12043.9789
65535           1617    65294   12454.2002
